,Name,Address,Upřesnění polohy,Telefon,Příjem,Cena za samoodběr,Způsob rezervace,Odkaz na rezervační systém,DRIVE-IN,Calendar
10,"AKESO holding - OM Jeremiášova, Praha 5 - Stodůlky","Jeremiášova 947/16, 155 00 Praha 5 - Stodůlky",Parkoviště u vstupu do Sconto nábytek,+420725101101,Osoby se žádankou i samoplátce,,Online rezervační portál nebo telefonní linka,www.antigenni-testy-covid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
11,"AKESO holding - OM Seydlerova, Praha 5 - Nové Butovice (Poliklinika Lípa)","Seydlerova 2451, 158 00 Praha 5 - Stodůlky",Parkoviště Polikliniky Lípa,+420725101101,Osoby se žádankou i samoplátce,,Online rezervační portál nebo telefonní linka,www.antigenni-testy-covid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
12,"AKESO holding - OM Stroupežnického, Praha 5 - Anděl","Stroupežnického 3181/21, 150 00 Praha 5 - Smíchov",Dvorana mezi kino komplexem a Palácem Anděl,+420725101101,Osoby se žádankou i samoplátce,,Online rezervační portál nebo telefonní linka,www.antigenni-testy-covid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
13,AURUM CLINIC s.r.o. - odběrové místo Zborovská,"Zborovská 79/56, 150 00 Praha 5 - Malá Strana",,777800887,,,online a telefonicky,www.aurumclinic.net,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
14,Booster event s.r.o. - odběrové místo poliklinika Štěchovická,"Štěchovická 1983/8, Praha",Poliklinika Štěchovická,+420722903212,Osoby se žádankou i samoplátce,,Rezervační systém,www.testcovid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
15,Centrum zdravotnického zabezpečení sportovní reprezentace - OM Strahov,"Vaníčkova ulice, Praha 6, Velký strahovský stadion",,,,,Bez rezervace,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
16,CITYLAB spol. s r.o. Uhříněves - odběrové místo,"Peceradská 12B, Praha 10 - Uhříněves",vchod branou mezi domy č. orientační 10 a 12,,Osoby se žádankou i samoplátce,,Rezervační kalendář na webu,www.citylab.cz,Ne,Út 31.8.   Volná kapacita2 z 34     St 1.9.   Volná kapacita 23 z 31     Čt 2.9.   Volná kapacita 24 z 30     Pá 3.9.   Volná kapacita 26 z 30     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 28 z 30
17,COP Plus s.r.o. - odběrové místo Kobylisy Klapkova,"Klapkova 3/26, 182 00 Praha 8 - Kobylisy","Praha 8 - Kobylisy, stanice metra, roh ulic V Brance a Klapkova",+420704979688,Osoby se žádankou i samoplátce,,Bez rezervace,www.cop-plus.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
18,"CovidPoint ČSAP z.s. - Praha 8, Karlín","Malého 282/3, Praha 8","Dům světla, Karlín - označené stany před budovou",224814284,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpoint.cz,Ne,Út 31.8.   Volná kapacita 777 z 1532     St 1.9.   Volná kapacita503 z 1532     Čt 2.9.   Volná kapacita572 z 1532     Pá 3.9.   Volná kapacita601 z 1532     So 4.9.   Volná kapacita641 z 1532     Ne 5.9.   Volná kapacita643 z 1532     Po 6.9.   Volná kapacita666 z 1532
19,Česká nemocniční s.r.o. - odběrové místo DBK Praha 4,"Budějovická 1667/64, 140 00 Praha 4",Odběrové místo – DBK Budějovická – Přízemí/terasa,778757750,Osoby se žádankou i samoplátce,,online,www.odberydbk.cz,Ne,Út 31.8.   Volná kapacita 192 z 192     St 1.9.   Maximální kapacita     Čt 2.9.   Maximální kapacita     Pá 3.9.   Maximální kapacita     So 4.9.   Maximální kapacita     Ne 5.9.   Maximální kapacita     Po 6.9.   Maximální kapacita
20,Česká nemocniční s.r.o. - odběrové místo Galerie Butovice,"Radlická 117, 158 00 Praha 5",Galerie Butovice,725370749,Osoby se žádankou i samoplátce,,Rezervační systém,www.cntesty.cz,Ne,Út 31.8.   Volná kapacita 116 z 132     St 1.9.   Volná kapacita 129 z 132     Čt 2.9.   Volná kapacita 122 z 132     Pá 3.9.   Volná kapacita 131 z 132     So 4.9.   Volná kapacita 108 z 108     Ne 5.9.   Volná kapacita 107 z 108     Po 6.9.   Volná kapacita 131 z 132
21,Česká nemocniční s.r.o. - odběrové místo Kamýk,"Těšíkova 912/1, Praha 12 Kamýk, 143 00","Praha 12 Kamýk, 143 00",607857245,Osoby se žádankou i samoplátce,,Rezervační systém,www.cntesty.cz,Ne,Út 31.8.   Volná kapacita 193 z 237     St 1.9.   Volná kapacita 224 z 237     Čt 2.9.   Volná kapacita 225 z 237     Pá 3.9.   Volná kapacita 226 z 237     So 4.9.   Volná kapacita 151 z 157     Ne 5.9.   Volná kapacita 176 z 177     Po 6.9.   Volná kapacita 235 z 237
22,Česká nemocniční s.r.o. - odběrové místo Pankrác,"Milevská 1695/7, 140 00 Praha 4",140 00 Praha 4,,Osoby se žádankou i samoplátce,,Rezervační systém,www.cntesty.cz,Ne,Út 31.8.   Volná kapacita 105 z 150     St 1.9.   Volná kapacita 129 z 150     Čt 2.9.   Volná kapacita 142 z 150     Pá 3.9.   Volná kapacita 146 z 150     So 4.9.   Volná kapacita 59 z 60     Ne 5.9.   Volná kapacita 94 z 96     Po 6.9.   Volná kapacita 145 z 150
23,"Dětská ambulance, Soukalova 3355/3, Praha 12","Soukalova 3355/3, 143 00 Praha 12 - Modřany",Vchod z ulice K Vlatvě,244403114,Samoplátce,,Přes webové stránky,www.pediatrie.cz,Ne,Út 31.8.   Zavřeno     St 1.9.   Zavřeno     Čt 2.9.   Žádná data     Pá 3.9.   Zavřeno     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
24,"Dopravní zdravotnictví a.s., Poliklinika AGEL Praha","Italská 560/37, 121 43, Praha 2","Poliklinika AGEL Praha, Italská 560/37",+420800700701,Osoby se žádankou i samoplátce,,Přes webové stránky,www.reservio.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
25,EliteMedical s.r.o. - odběrové místo,"Na Příkopě 859/22, 110 00 Praha 1 - Nové Město","Slovanský dům, vchod mezi MaxMara a Nike, 3. patro",731900020,Samoplátce,,Rezervační systém,www.elitemedical.eu,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
26,Elphogene s.r.o. - odběrové místo Praha Drnovská,Drnovská 1112/60 161 00 Praha 6 - Ruzyně,"Příjezdová cesta zezadu budovy (naproti adrese Pilotů 78, Praha 6 - Ruzyně)",+420774605535,Osoby se žádánkou (od lékaře/KHS),,Přes webové stránky na přesný čas,www.nazadanku.cz,Ano,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 77 z 100     Čt 2.9.   Volná kapacita 80 z 97     Pá 3.9.   Volná kapacita 88 z 100     So 4.9.   Volná kapacita 56 z 69     Ne 5.9.   Volná kapacita 57 z 69     Po 6.9.   Volná kapacita 95 z 98
27,EUC Klinika Praha Kartouzská - odběrové místo,"Kartouzská 204/6,Praha 5",Budova B,725572830,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace.euclaboratore.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
28,EUC klinika Praha Šustova - odběrové místo,"Šustova 1930/2, Praha",prostranství u polikliniky- parkoviště,725572830,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace.euclaboratore.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 61 z 79     Čt 2.9.   Volná kapacita 73 z 79     Pá 3.9.   Volná kapacita 70 z 79     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 68 z 79
29,EUC Laboratoře Praha,"Veleslavínská 1/30, 162 00 Praha 6",Zámek Veleslavín,725572830,Osoby se žádankou i samoplátce,,on-line,rezervace.euclaboratore.cz,Ano,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 121 z 181     Čt 2.9.   Volná kapacita 154 z 181     Pá 3.9.   Volná kapacita 139 z 181     So 4.9.   Volná kapacita 26 z 48     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 161 z 181
30,EUC Laboratoře s.r.o. - odběrové místo Praha Bohdalec,Nad Vršovskou horou,mobilní buňka,226224970,Osoby se žádankou i samoplátce,,web,rezervace.euclaboratore.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
31,EUC Laboratoře s.r.o. Horní Počernice - odběrové místo,Palackého 720/5,budova knihovny,725572830,Osoby se žádankou i samoplátce,,web,rezervace.euclaboratore.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 54 z 72     Čt 2.9.   Volná kapacita 58 z 72     Pá 3.9.   Volná kapacita 57 z 72     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 68 z 72
32,Fakultní nemocnice Královské Vinohrady,"Šrobárova 1150/50, 100 34 Praha 10","1. ODBĚR NA PCR Odběrový stan COVID-19 (Drive In, ul. Šrobárova), 2. ANTIGENNÍ TESTOVÁNÍ OBYVATEL Stan pro pěší (ul. Ruská)",,Osoby se žádankou i samoplátce,,ODBAVUJEME POUZE OBJEDNANÉ KLIENTY PŘES WEB FNKV,objednavky.fnkv.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
33,Fakultní nemocnice v Motole,"V Úvalu 84, 15006, Praha 5","Pavilon 24 u jižní vrátnice, Antigenní testy - nádvoří budovy ředitelství",+420224435396,Osoby se žádankou i samoplátce,,Elektronický rezervační systém,objednavky.fnmotol.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
34,Forenzní DNA servis s.r.o. - odběrové místo FN Bulovka,"Bulovka 1606/1, Praha 8",Fakultní nemocnice Bulovka,731503250,Samoplátce,,,,Ne,Út 31.8.   Zavřeno     St 1.9.   Zavřeno     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Zavřeno
35,FYZIOklinika Praha-Chodov,Machkova 1642/2,před budovou,606404804,Osoby se žádankou i samoplátce,,Provoz bez rezervace,www.fyzioklinika.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
36,GenDetective - Černý Most,"Chlumecká 2424, 193 00 Praha",U čerpací stanice Makro,731099730,Osoby se žádankou i samoplátce,,Web,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
37,GenDetective - Čestlice,"U Makra 102, 251 01 Čestlice",Přímo na parkovišti prodejny MAKRO,731099730,Osoby se žádankou i samoplátce,,Web,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
38,GenDetective s.r.o. - odběrové místo Praha Kutnohorská,"Kutnohorská 109, Praha 10, Iceland",,731099730,Osoby se žádankou i samoplátce,,web,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
39,GenDetective s.r.o. - odběrové místo Praha U Technoplynu,"U Technoplynu 1324, Praha 9",,731099730,Osoby se žádankou i samoplátce,,web,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
40,GenDetective s.r.o.- odběrové místo SAPA,"Libušská 319/126, 142 00, Praha",,,Osoby se žádankou i samoplátce,,online na přesný čas,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
41,GenDetective s.r.o.-odběrové místo Drive-In Braník,"Modřanská 1542, 147 00 Praha 4",Parkoviště Hamr-Braník,731099730,Osoby se žádankou i samoplátce,,Přes webové stránky,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
42,GenDetective s.r.o.-odběrové místo Drive-In Zličín,"Skandinávská 15a, 155 00, Praha",Parkoviště HomePark,731099731,Osoby se žádankou i samoplátce,,Přes webové stránky,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
43,GenDetective s.r.o.-odběrové místo Hamr Záběhlice,"Záběhlická 3303/60, 106 00, Praha 10",Hlavní parkoviště z ulice Záběhlická,+420272772762,Osoby se žádankou i samoplátce,,Přes webové stránky,skoly.labservice.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
44,GenDetective s.r.o.-odběrové místo Karlovy lázně,"Smetanovo nábřeží 198/1, 110 00, Praha",Hlavní vchod budovy Karlovy lázně,+420731099731,Osoby se žádankou i samoplátce,,Přes webové stránky,www.gendet.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
45,Genetická laboratoř sanatoria Pronatal s.r.o. - odběrové místo Zelený pruh,"Roškotova 1717/2, Praha 4 - Braník","Zadní vchod budovy Poliklliniky Zelený pruh, - 2 pp., vstup z ulice U Družstva Práce",237777400,Osoby se žádankou i samoplátce,,Přes webové stránky,pronatal-s-r-o.reservio.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
46,"GHC Genetics - odběrové místo Mariánské náměstí 2, 11000, Praha 1","Mariánské náměstí 2, 11000, Praha 1",stan před budovou Magistrátu hlavního města Prahy,,Osoby se žádankou i samoplátce,,objednávkový kalendář,www.covid-ghc.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
47,GHC Genetics - PVA Letňany DRIVE-IN,"Parkoviště Pražský veletržní areál Letňany, Praha - Letňany",Parkoviště u PVA EXPO Letňany,+420739500500,Osoby se žádankou i samoplátce,,,covid-ghc.com,Ano,Út 31.8.   Volná kapacita 114 z 114     St 1.9.   Maximální kapacita     Čt 2.9.   Maximální kapacita     Pá 3.9.   Maximální kapacita     So 4.9.   Maximální kapacita     Ne 5.9.   Zavřeno     Po 6.9.   Maximální kapacita
48,GHC Praha - odběrové místo Letiště Václava Havla,"Aviatická, 160 00 Praha 6","Letiště Václava Havla Praha, odběrové místo je umístěno ve veřejné části letiště v prostoru mezi Terminálem 1 a 2",+420739500500,Samoplátce,,Bez objednání,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
49,"GHC Praha Holešovice, odběrové místo","Výstaviště 67, Bubeneč, Praha 7, 170 00",Výstaviště Holešovice,739500500,Osoby se žádánkou (od lékaře/KHS),,Přes webové stránky,www.covid-ghc.com,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
50,"GHC Praha Vítězné náměstí, odběrové místo","Vítězné náměstí, Praha 6,","Vítězné náměstí, Na rohu ulic Šolínova a Technická , Praha 6",739500500,Osoby se žádankou i samoplátce,,Přes webové stránky,covid-ghc.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
51,"GHC, Václavské náměstí, odběrové místo","Václavské náměstí 824 / 29, Praha 1",,+420739500500,Osoby se žádankou i samoplátce,,,covid-ghc.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
52,Home Care Promedica s.r.o. - odběrové místo Pod Višňovkou,"Vídeňská, 140 00 Praha-Kunratice",Za autobusovou zastávkou - Nemocnice Krč,,Osoby se žádankou i samoplátce,,Přes webové stránky,reservatic.com,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Maximální kapacita     Čt 2.9.   Maximální kapacita     Pá 3.9.   Maximální kapacita     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Maximální kapacita
53,INTER CLINIC Praha Radotín - odběrové místo,"Na Výšince 149/3, 153 00, Praha 5 - Radotín","naproti kinu, postranní vchod",734200334,Samoplátce,,Výhradně formulář na www.interclinic.cz (kontaktujeme zpět),interclinic.cz,Ne,Út 31.8.   Zavřeno     St 1.9.   Žádná data     Čt 2.9.   Zavřeno     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
54,IVF CUBE,"Evropská 423, 160 00 Praha 6-Vokovice",,,Samoplátce,,pouze pro klienty IVF CUBE,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
55,Klinika GHC - odběrové místo Praha 1 Krakovská,"Krakovská 581/8, 110 00 Praha 1 - Nové Město",Praha 1,222211206,Samoplátce,,telefonicky,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
56,"Laboratory Room s.r.o. - odběrové místo plavecký bazén Podolí, Podolská 74 147 00 Praha 4",Podolská 74 147 00 Praha 4,,+420773679459,Samoplátce,,online,covidpass.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
57,Laboratoře lékařské genetiky - Lovosická,"Lovosická 440, Praha 9, 19800",prostranství před poliklinikou Prosek,607400401,Osoby se žádankou i samoplátce,,jen online,llg.labservice.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
58,Medica JM s.r.o. - odběrové místo Kunratice,"Ještědská, 148 00 Praha-Kunratice",Parkoviště pošta z ul. Ještědská,736618360,Osoby se žádankou i samoplátce,,Přes webové stránky,,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
59,Medica JM s.r.o. - Poliklinika Michnova,"Michnova 1622, Praha 4",zadní parkoviště za poliklinikou,736618360,Osoby se žádankou i samoplátce,,web,reservatic.com,Ne,Út 31.8.   Volná kapacita 150 z 168     St 1.9.   Volná kapacita 164 z 168     Čt 2.9.   Volná kapacita 164 z 168     Pá 3.9.   Volná kapacita 162 z 168     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 164 z 168
